smiles,true_label,predicted_probability_class_0,predicted_probability_class_1
C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,1,0.047987998,0.952012
O=C(Nc1n[nH]c2nc(-c3ccco3)ccc12)C1CC1,1,0.15052724,0.84947276
CC1=NNC(=O)/C1=N\\Nc1ccccc1Cl,1,0.130696,0.869304
Nc1nonc1-c1nc2ccccc2n1-c1ccccc1,1,0.17600423,0.82399577
N#Cc1ccc(-n2c(-c3nonc3N)nc3ccccc32)cc1,1,0.24822843,0.75177157
O=C1NN=C(c2ccccn2)/C1=N/Nc1ccccc1Cl,1,0.09468746,0.90531254
O=C1NN=C(c2ccncc2)/C1=N/Nc1ccccc1Cl,1,0.09468746,0.90531254
O=C1NN=C/C1=N/Nc1ccccc1Cl,1,0.16804451,0.8319555
Cn1cc(C2=C(N(C(=O)OC(C)(C)C)c3ccccc3)C(=O)NC2=O)c2ccccc21,1,0.07441032,0.9255897
COc1ccc(N/N=C2\\C(=O)NN=C2c2ccccn2)cc1,1,0.07913923,0.92086077
COc1ccc(N/N=C2\\C(=O)NN=C2c2ccncc2)cc1,1,0.07913923,0.92086077
CCCC(=O)Nc1n[nH]c2cc(-c3ccc(N)nc3)ccc12,1,0.08008182,0.9199182
CCCC(=O)Nc1n[nH]c2cc(-c3cccnc3)ccc12,1,0.14306271,0.8569373
Cn1cc(C2=C(Nc3ccccc3)C(=O)NC2=O)c2ccccc21,1,0.069983006,0.930017
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(OC[C@@H](N)c3ccccc3)cc21,1,0.089173615,0.9108264
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(OC[C@H](N)c3ccccc3)cc21,1,0.089173615,0.9108264
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(OC[C@H](N)Cc3ccccc3)cc21,1,0.12242609,0.8775739
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(OC[C@@H](N)Cc3ccccc3)cc21,1,0.12242609,0.8775739
