smiles,true_label,predicted_probability_class_0,predicted_probability_class_1
CN(C)C(=O)N1C[C@@H]2C[C@](C)(NCC(=O)N3CCC[C@H]3C#N)C[C@@H]2C1,1,0.42850292,0.5714971
CN(C)C(=O)N1C[C@@H]2C[C@@](C)(NCC(=O)N3CCC[C@H]3C#N)C[C@@H]2C1,0,0.42850292,0.5714971
CC(C)(CC(=O)Nc1ccccn1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,0,0.7452726,0.25472742
COc1ccc(NC(=O)CC(C)(C)NCC(=O)N2C[C@@H](F)C[C@H]2C#N)nc1,0,0.45607185,0.54392815
CC1c2nc(C3CC3)n(C)c2CCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F.Cl,0,0.9300215,0.06997845
Cc1cc2nc(C)c(CN)c(-c3ccc(Cl)cc3Cl)n2n1,0,0.9986496,0.0013503735
CCC(=O)c1cnn2c(-c3ccc(Cl)cc3Cl)c(CN)c(C)nc12,0,0.4818133,0.5181867
Cc1nc2nc(N3CCN(C(=O)OC(C)(C)C)CC3)nn2c(-c2ccc(Cl)cc2Cl)c1CN,0,0.09244621,0.9075538
Cc1nc2nc(N3CCNCC3)nn2c(-c2ccc(Cl)cc2Cl)c1CN,0,0.95736253,0.042637456
Cc1nc2nc(C(=O)N(C)CCc3ccccn3)cn2c(-c2ccc(Cl)cc2Cl)c1CN,1,0.046004295,0.9539957
Cc1nc2nc(C(=O)NCc3ccco3)cn2c(-c2ccc(Cl)cc2Cl)c1CN,1,0.012038767,0.98796123
Cc1nc2nc(C(=O)N(C)Cc3ccco3)cn2c(-c2ccc(Cl)cc2Cl)c1CN,1,0.011303663,0.98869634
Cc1nc2nc(C(=O)NCCc3ccccn3)cn2c(-c2ccc(Cl)cc2Cl)c1CN,1,0.009553432,0.99044657
O=C(NCC(=O)N1CCC[C@H]1B(O)O)c1cccc2ccccc12,1,0.052854598,0.9471454
N#C[C@@H]1CCCN1C(=O)CNC(=O)c1cccc2ccccc12,0,0.924106,0.07589397
N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(-c2ccccc2)c1=O,0,0.9942136,0.0057864427
N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(-c2ccccc2F)c1=O,0,0.96469885,0.035301156
N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(-c2ccoc2)c1=O,0,0.89086163,0.10913837
Cc1nc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c(=O)c1-c1ccoc1,0,0.4373271,0.5626729
N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(/C=C/c2ccccc2)c1=O,0,0.9918571,0.008142897
N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(/C=C/c2ccc(F)cc2)c1=O,0,0.96237457,0.037625425
N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2ccsc2c1=O,0,0.99113023,0.008869771
Cc1csc2c(=O)n(Cc3ccccc3C#N)c(N3CCC[C@@H](N)C3)nc12,0,0.98546106,0.014538939
N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@H](N2CCn3c(nnc3C(F)(F)F)C2)CC1,0,0.96004313,0.039956883
N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@@H](N2CCC(F)(F)C2)CC1,0,0.9285041,0.07149589
N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@H](N2CCC(F)(F)C2)CC1,0,0.9285041,0.07149589
N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@@H](N2CCn3c(nnc3C(F)(F)F)C2)CC1,1,0.96004313,0.039956883
CC(=O)N1CCC([C@H](N)Cc2cc(F)ccc2F)CC1,0,0.9565109,0.043489117
CS(=O)(=O)N1CCC([C@H](N)Cc2cc(F)ccc2F)CC1,0,0.9812151,0.018784875
N[C@H]1CN(c2ncnc(N3CCC(F)(F)C3)n2)C[C@@H]1N1CCCCC1=O,0,0.9838227,0.0161773
N[C@H]1CN(c2ncnc(N3CCC(F)(F)C3)n2)C[C@@H]1N1CC(F)(F)CCC1=O,0,0.9486855,0.051314484
