comp_id,bioactivity,data_split,smiles
CHEMBL102936,0,train,CS(=O)(=O)Nc1ccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)cc1
CHEMBL103080,0,train,CS(=O)(=O)Nc1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1
CHEMBL103104,0,test,NS(=O)(=O)c1ccc(Nc2cc(-c3cccc(O)c3)n[nH]2)cc1
CHEMBL112115,0,train,Nc1ccc(-c2nc3ccccc3o2)cc1
CHEMBL11909,0,train,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
CHEMBL1200712,1,test,Cc1cc(-c2ccc(/N=N/c3ccc4c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c(N)c4c3O)c(C)c2)ccc1/N=N/c1ccc2c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c(N)c2c1O.[Na+].[Na+].[Na+].[Na+]
CHEMBL1200759,0,test,Cl.O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
CHEMBL125044,1,test,COc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1
CHEMBL1256672,0,test,Nc1nc(Nc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL1257013,0,train,OC[C@H]1O[C@@H](n2cnc3c(NCCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O
CHEMBL1269779,0,test,O=C(Nc1ccccc1)c1cnc2ccccc2n1
CHEMBL12831,0,test,O=C1CCC(c2ccc(-n3ccnc3)cc2)=NN1
CHEMBL129236,1,train,CC(=O)Nc1ccc(-c2nc3ccccc3s2)cc1
CHEMBL1299412,0,test,CCN(CC)S(=O)(=O)c1cc(NC(=O)C2Cc3ccccc3C(=O)O2)ccc1C
CHEMBL1300067,0,test,COc1ccc(CN2CCCC(C(=O)c3cccc(OC(C)C)c3)C2)cc1Cn1cccn1
CHEMBL1300624,0,test,NC(=O)C1(N2CCCCC2)CCN(C(=O)Nc2ccccc2C(F)(F)F)CC1
CHEMBL1300772,1,test,COc1ccc(C(=O)Nc2ccccc2C(=O)Nc2cccnc2)cc1
CHEMBL1300964,0,test,CCn1ccc(C(=O)Nc2c(C)nn(Cc3c(F)c(F)c(F)c(F)c3F)c2C)n1
CHEMBL1301241,0,test,COc1ccc(S(=O)(=O)NCC(c2cccnc2)N2CCN(C)CC2)cc1C
CHEMBL1301440,0,test,CN1CCN(S(=O)(=O)c2cccc([N+](=O)[O-])c2)CC1
CHEMBL1301573,1,test,Nc1ccc(-c2nc3c(Cl)cc(N)cc3[nH]2)cc1
CHEMBL1301576,0,train,COc1cc2c(cc1OC)-c1cc(Nc3ccccc3C)nc(=O)n1CC2
CHEMBL1301654,0,test,COc1ccc(CCNC(=O)CSc2nc(N)c3c(C)c(C)oc3n2)cc1OC
CHEMBL1301753,0,test,COc1ccc(OCC(=O)Nc2nc3ccccc3[nH]2)cc1
